Gun,Skin,Image,Price Link,Min_Price,Max_Price,Stat_Min_Price,Stat_Max_Price
Negev,Lionfish1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zcF9uZWdldl9saW9uZmlzaF9saWdodC42MDk4MDAwNjk2ODgzNDZjMWFjYzU1NzkyNmJhMGI5ODMwMjAyZTAzLnBuZw--/auto/auto/85/notrim/d4d47712134e8dfd8558f4d16286855d.png,https://csgoskins.gg/items/negev-lionfish,$0.40,$1.68,,
Negev,Loudmouth1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl9hbm5paGlsYXRvcl9saWdodC5jNjY2NzY2OTc2Nzc3NzIzZGVmZGQxZmI5ZDE5MTgzODYzNGRmNWEyLnBuZw--/auto/auto/85/notrim/ba8c1ca5a9457a294eeefb98230fbaac.png,https://csgoskins.gg/items/negev-loudmouth,$0.50,$10.48,,
M249,Magma1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2FxX29ic2lkaWFuX2xpZ2h0LjI2YTQ2MmU0YzAzNzI2OTYxOWMzY2M4MzJiZDJhYzZkMWJiZTQ1YjIucG5n/auto/auto/85/notrim/e5d7b88f3691df4f689fa302c4a7fd38.png,https://csgoskins.gg/items/m249-magma,$0.57,$1.55,,
Negev,Man-o'-war1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9hbV9uZWdldl9nbG9yeV9saWdodC44ZDQ5NGY4ZjcyOTVlODc3MzZhOTg5YmU4MWI4NTM3ODY0YzRiZWVhLnBuZw--/auto/auto/85/notrim/2f452c6c48b2922c00eda0ad28aa4aaf.png,https://csgoskins.gg/items/negev-man-o-war,$0.18,$0.22,,
M249,Midnight Palm1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X3NwX3BhbG1fbmlnaHRfbGlnaHQuZTczMTVjZjZiNGJhZjk2NGIxNDRlMDE4YmZmMzlmMTM3ZWY1NjAwNi5wbmc-/auto/auto/85/notrim/b011c974b1efa374abf14a930d0e2440.png,https://csgoskins.gg/items/m249-midnight-palm,$2.12,$3.28,,
Negev,Mjölnir1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9nc19uZWdldl90aG9yX2xpZ2h0LjdiNzA3ZGQ5YWRhZWMyNDU1MjZkMjgzMWJmMjFjNTFiOWM0ZjI1MDgucG5n/auto/auto/85/notrim/3889276495a494693f67a40eed854e18.png,https://csgoskins.gg/items/negev-mjolnir,"$2,538.13","$2,962.08",,
M249,Nebula Crusader1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2dzX20yNDlfbmVidWxhX2NydXNhZGVyX2xpZ2h0LmRmZjBlOTI1M2Q1ZDJhY2JmOTc5MzQwZmRkMjdlYjllMzA4MzBkNzIucG5n/auto/auto/85/notrim/b5e400d21e614e2baea494aedfee1b82.png,https://csgoskins.gg/items/m249-nebula-crusader,$1.06,$7.69,,
Negev,Nuclear Waste1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zcF9udWNsZWFyX3BhdHRlcm4zX25lZ2V2X2xpZ2h0LmVmYzIxOTE2Zjk5MjIwMTI4MjYwOTQ0ODA2MDI3OTQwZjZlYzk5NTQucG5n/auto/auto/85/notrim/a6f1db6a1a0077209d17a08f16e25e78.png,https://csgoskins.gg/items/negev-nuclear-waste,$1.72,$3.84,,
M249,O.S.I.P.R.1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2dzX20yNDlfY29tYmluZV9saWdodC4wYTA2NWUzNzY2OGUzZDIyMGZmZjdlN2E4Y2U2OGI1OWQ3Yjk3NGM3LnBuZw--/auto/auto/85/notrim/79bf38a2cf2f4a125e94c4a276f77772.png,https://csgoskins.gg/items/m249-osipr,$0.15,$0.48,,
Negev,PalM,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zcF9wYWxtX2JyYXZvX2xpZ2h0LjhjZDM3NTU4NDUzZTg0ZjMwNWVkYjA0M2RmNjdlNDU2MDI2MjlhMmQucG5n/auto/auto/85/notrim/9934ab253959f248c8ba0f7b661fd35e.png,https://csgoskins.gg/items/negev-palm,$4.09,$43.91,,
Negev,Phoenix Stencil1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9oeV9waG9lbml4X3RhZ3NfcmVkX2xpZ2h0LmRmZmRiM2Q1MWZmYmNjOWE3ZThjZDZlM2ZiN2U0Zjk1NTU3NzhiOWUucG5n/auto/auto/85/notrim/5c523806d69b89ed40a6b7dccd9558e5.png,https://csgoskins.gg/items/negev-phoenix-stencil,$24.12,$31.36,,
Negev,Power Loader1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl9pbXBhY3RfbGlnaHQuMjBmZmY2ODMzZDQ0YzgwMDA2ZDVjYzBmYWY0NTYxOGE2OTI2MDNhZS5wbmc-/auto/auto/85/notrim/4026899c29cd5fa7ac939913c5c3f66c.png,https://csgoskins.gg/items/negev-power-loader,$0.80,$7.07,,
M249,PredatOR,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X3NwX3plYnJhY2FtX2xpZ2h0LjRlMzgyZmQzODA4MTAwMGYyNzgwZDc4OTNjZjk3ODQyOTNiMmQ3ZjQucG5n/auto/auto/85/notrim/20f5412833d762e91a40d23acc2e2529.png,https://csgoskins.gg/items/m249-predator,$0.42,$3.21,,
Negev,Prototype1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9jdV9uZWdldl9wcm90b3R5cGVfbGlnaHQuNGY2NTE2ZTJlNjcxNGZiYzdhMWZhZDAwODE4ZDQ2MDkyNDhhNjk4OC5wbmc-/auto/auto/85/notrim/85f3a8a64afb5e2923a3fd7c1e8eaecc.png,https://csgoskins.gg/items/negev-prototype,$0.11,$0.38,,
Negev,Raw Ceramic1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zb19jZXJhbWljX25lZ2V2X2xpZ2h0LmI0YTdiOTU5ZjRhOGI5YzkyNGZjNjVhNDQ5OTEyNzNhNzhmYjVkYWYucG5n/auto/auto/85/notrim/c6f50fc6dc3d972cdafd6f113f4fd8d8.png,https://csgoskins.gg/items/negev-raw-ceramic,$0.01,$0.03,,
M249,Sage Camo1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2h5b19qdW5nbGVfZGVzYXRfbGlnaHQuNDM4MjVhYzdlNWYzMWE4YTZiNmNjYWUwODUzMTc0N2I4OWY4NWYxOS5wbmc-/auto/auto/85/notrim/fed060f02db62744ff4b7cd378a3062b.png,https://csgoskins.gg/items/m249-sage-camo,$0.01,$0.04,,
M249,Shipping Forecast1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2h5X3pvZGlhYzNfbGlnaHQuNDU2ZDM0M2NkYTVjMGQ1ZjliMGVlOTMwZmY1OGI5ZDY3N2FhOWRlYi5wbmc-/auto/auto/85/notrim/a6e19f059451ec2175928c19d2567e15.png,https://csgoskins.gg/items/m249-shipping-forecast,$14.78,$18.86,,
Negev,Sour Grapes1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9uZWdldl9zb2VfYmVycnlfbGlnaHQuM2Q3ZGE3Y2VmNWU2NmE5MjY2ZWVjOTBkNWFlZGE3YzFmZDJiNmY0Ny5wbmc-/auto/auto/85/notrim/867d16203fe23336aacb19c61386ce7f.png,https://csgoskins.gg/items/negev-sour-grapes,$0.02,$0.56,,
M249,Spectre1,https://cdn.csgoskins.gg/public/uih/items/aHR0cHM6Ly9jZG4uY3Nnb3NraW5zLmdnL3B1YmxpYy9pbWFnZXMvYnVja2V0cy9lY29uL2RlZmF1bHRfZ2VuZXJhdGVkL3dlYXBvbl9tMjQ5X2N1X20yNDlfc3BlY3RyZV9saWdodC44ZjZjYjc5YTg5ZjQyYjIwYjg1MDMzMjAyY2M5ZGYyNWZlMmQwYjZiLnBuZw--/auto/auto/85/notrim/23f5669e7628a68d7c286c4ae45fcbb0.png,https://csgoskins.gg/items/m249-spectre,$0.22,$0.42,,
